,Description,Freq
576,poultry farm,1
579,predatory birds kite,1
582,presentation   christchild   temple usually simeon  anna present luke ,1
584,printing press,1
585,prison jail,1
587,private religious instruction,1
590,public prayer,1
591,public punishment death  intended  involved,1
593,pulpit ambo chancel,1
594,pump,1
597,putting  tying  taking  untying sandals  shoes,1
598,putting  tying  taking  untying sandals  shoes aa female human figure,1
603,rain,1
607,raven songbirds raven,1
612,reaping picking mowing harvest,1
613,reaping picking mowing harvest harvesting agricultural processes,1
614,reaping picking mowing harvest men labourers,1
615,reaping picking mowing harvest women labourers,1
617,reins,1
619,requesting  brides parents permission,1
620,rescuing  victim  informal justice,1
622,resting bb   doors biology · human  · mind · resting,1
623,return  runaway child,1
624,returning home  school,1
625,rickshaw,1
628,riding  horse ass  mule rider horseman ,1
630,ritual objects  ritual means hinduism buddhism jainism,1
631,road path,1
632,roasting grilling,1
636,rockinghorse,1
637,rocky coast,1
640,rodents rat,1
645,ruin   dwelling house castle etc,1
647,ruler  counsellors,1
648,ruler commanding,1
649,runaway child,1
651,running games children,1
653,rural life,1
654,russians europeans russians,1
657,saluting,1
658,salvaging  wreck,1
661,scales,1
662,scorpions,1
663,scythe agricultural implements scythe,1
664,sea seascape,1
665,seaman,1
666,searching  finding  runaway child,1
668,sermon protestant service,1
669,setting  fire  conquered city,1
671,sharpening grinding industrial processes,1
673,shepherd  sheep  lamb   shoulders,1
675,ships  general cc   one ship,1
676,shipyard shipdock cc   one ship,1
677,shoes sandals dressing putting  clothes,1
681,shorebirds  wadingbirds ibis,1
682,sickbed,1
685,sitting   elevation,1
687,slate writing material,1
691,sleeping  chair,1
694,smithblacksmith,1
697,songbirds blackbird,1
699,songbirds lark,1
700,songbirds nightingale,1
704,songbirds sparrow,1
705,songbirds thrush,1
706,sow,1
708,spaniards europeans spaniards,1
710,sparrow songbirds sparrow,1
711,sparrowhawk predatory birds sparrowhawk,1
712,spiders,1
714,spoon,1
716,spying  someone,1
717,squirrel rodents squirrel,1
718,stag hoofed animals stag,1
719,standing   head    hands,1
720,standing figure aa female human figure,1
721,starlinghouse,1
723,steamsailer,1
724,steamship motorship,1
725,stockings socks,1
726,stork shorebirds  wadingbirds stork,1
727,storm  land,1
730,story  xenophon,1
732,street lighting,1
734,study  diversion,1
735,study studiolo library,1
737,sun represented  face wheel etc,1
739,sunset,1
740,surrealia surrealistic representations,1
743,swearing allegiance   ruler,1
744,sweeping cleaning  house,1
745,swimming mammals walrus,1
747,symbols divine nature,1
748,table,1
749,taking care  children,1
750,taking leave,1
752,taming domestication  animals tamed  domesticated animal,1
754,temple  solomon  kings   chronicles ,1
756,textile fabric cloth,1
757,theft abuse  legal power,1
759,threatening behaviour challenging,1
760,throne bb female ruler,1
761,throwing games,1
762,tiger beasts  prey predatory animals tiger,1
763,tightropewalker,1
765,tools aids implements crafts  industries knife,1
770,traveller resting   open air,1
775,turkey walker  runner birds turkey,1
776,turks asiatic races  peoples turks,1
778,underground road tunnel,1
779,unicorn,1
780,university building college,1
781,unusual manners  living,1
782,unusual means  transport,1
783,villa,1
787,viol rebec violinlike instruments,1
788,violent death  dagger knife,1
790,violin fiddle,1
791,violin fiddle cc   doors artist  work,1
793,visiting receiving guests elegant company,1
794,volcano,1
795,walker  runner birds guinea hen,1
796,walker  runner birds partridge,1
797,walker  runner birds pheasant,1
798,walker  runner birds quail,1
801,walking   water,1
803,walking  stilts,1
806,wallpaper,1
807,walrus swimming mammals walrus,1
810,washing ones face  head,1
811,watch,1
814,waterbirds duck,1
815,waterbirds smew,1
816,waterfall hh ideal landscapes,1
818,watermill,1
819,waving farewell departure   journey,1
820,weaving,1
821,weavingloom,1
822,wedding reception,1
824,whale fishery whaling,1
828,whip,1
829,whirling games pinwheel,1
830,widow,1
832,windmill  landscape,1
834,witch sorcerer   devil andor demons,1
835,witch sorceress,1
837,woman showing  undressed quasinude,1
838,woodcock shorebirds  wadingbirds woodcock,1
840,wooden leg,1
841,woodpecker  birds woodpecker,1
842,working class labourers,1
847,youth young man adolescent,1
848,zebra,1
