LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1993,-0.961873091,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1994,3.226971469,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1995,2.384757222,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1996,1.589799767,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1997,3.710288347,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1998,1.976158435,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1999,3.562751469,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2000,3.64051581,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2001,0.805637055,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2002,1.779707517,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2003,0.774382955,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2004,3.633699378,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2005,2.099342115,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2006,2.506814535,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2007,3.444569241,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2008,0.781288465,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2009,-2.250357404,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2010,2.744078871,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2011,1.798533523,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2012,0.234394059,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2013,0.200726127,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2014,1.351686353,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2015,1.404320187,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2016,1.466005579,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2017,1.745210401,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2018,1.654881182,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.708364209,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1962,7.413844894,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1963,5.332294413,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1964,6.620818246,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1965,6.277039545,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1966,6.668351904,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1967,3.031031322,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1968,4.93102382,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1969,4.995740035,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1970,2.877365923,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1971,3.933554677,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1972,5.473020797,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1973,6.85323735,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1974,3.26110851,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1975,1.394841421,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1976,5.86512198,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1977,3.397674943,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1978,3.742089225,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1979,3.645048281,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1980,2.139657675,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1981,3.479186205,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1982,-3.201963103,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1983,2.598474627,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1984,5.925385647,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1985,4.734084256,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1986,2.161816172,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1987,4.096465663,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1988,4.429428927,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1989,2.323922646,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1990,0.154346121,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1991,-2.1256933,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1992,0.882976477,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1993,2.655262562,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1994,4.49350041,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1995,2.677708439,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1996,1.611002019,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1997,4.279882292,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1998,3.881714881,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1999,5.16319108,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2000,5.182732096,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2001,1.770781296,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2002,3.010035991,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2003,1.80227364,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2004,3.085979456,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2005,3.201382139,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2006,2.623395979,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2007,2.062764243,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2008,1.000360971,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2009,-2.949571911,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2010,3.083465095,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2011,3.14121999,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2012,1.745518552,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2013,2.47501647,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2014,2.565313143,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2015,0.941632687,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2016,1.467761197,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2017,3.022322558,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.10425074,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.941003504,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,1996,4.161125728,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,1997,-0.620679131,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,1998,-0.317299288,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,1999,1.265753937,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2000,4.62073234,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2001,2.896874413,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2002,1.563883349,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2003,3.59877433,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2004,4.748508324,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2005,6.607540312,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2006,7.04420787,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2007,5.588279692,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2008,2.504834154,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2009,-4.655169954,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2010,2.115066446,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2011,1.780387992,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2012,-0.720797022,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2013,-0.485228618,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2014,2.71507287,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2015,5.387803724,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.490646353,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2017,4.270431837,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2018,3.462730714,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2019,3.156430077,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1971,3.005032996,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1972,3.929343825,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1973,4.092925236,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1974,-1.122411664,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1975,-1.456541735,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1976,5.924574567,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1977,1.87028859,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1978,2.22630861,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1979,3.869056424,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1980,-0.482992254,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1981,-0.666133022,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1982,3.684650826,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1983,2.596061212,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1984,4.166151263,
DNK,REALGDPFORECAST,TOT,AGRWTH,A,1985,4.003685575,
