"","filename","type"
"151","PN970_D4_D4_1857_no_44_DUP.xml","Religious"
"152","PN970_D4_D4_1857_no_45.xml","Religious"
"153","PN970_D4_D4_1857_no_45_DUP.xml","Religious"
"154","PN970_D4_D4_1857_no_46.xml","Religious"
"155","PN970_D4_D4_1857_no_46_DUP.xml","Religious"
"156","PN970_D4_D4_1857_no_47.xml","Religious"
"157","PN970_D4_D4_1857_no_47_DUP.xml","Religious"
"158","PN970_D4_D4_1857_no_48.xml","Religious"
"159","PN970_D4_D4_1857_no_48_DUP.xml","Religious"
"160","PN970_D4_D4_1857_no_5.xml","Religious"
"161","PN970_D4_D4_1857_no_5_DUP.xml","Religious"
"162","PN970_D4_D4_1857_no_5_DUP2.xml","Religious"
"163","PN970_D4_D4_1857_no_6.xml","Religious"
"164","PN970_D4_D4_1857_no_6_DUP.xml","Religious"
"165","PN970_D4_D4_1857_no_6_DUP2.xml","Religious"
"166","PN970_D4_D4_1857_no_7.xml","Religious"
"167","PN970_D4_D4_1857_no_7_DUP.xml","Religious"
"168","PN970_D4_D4_1857_no_8.xml","Religious"
"169","PN970_D4_D4_1857_no_8_DUP.xml","Religious"
"170","PN970_D4_D4_1857_no_9.xml","Religious"
"171","PN970_D4_D4_1857_no_9_DUP.xml","Religious"
"172","PN970_D4_I52_1847.xml","HistPolitBiograph"
"173","PN970_D4_I53_1847.xml","HistPolitBiograph"
"174","PN970_D4_I54_1847.xml","HistPolitBiograph"
"175","PN970_D4_Y6_1847.xml","MetricalTales"
"176","PN970_D43_H67_1811.xml","MetricalTales"
"177","PN970_D43_J8_1811.xml","GeographHistory"
"178","PN970_D43_M6_1830z.xml","GeographHistory"
"179","PN970_D43_R67_1815.xml","MetricalTales"
"180","PN970_D43_T67_1811.xml","Religious"
"181","PN970_D63_C63_1829.xml","MetricalTales"
"182","PN970_E93_C6_1821.xml","MetricalTales"
"183","PN970_E93_L5_1826.xml","Instruction"
"184","PN970_E93_L58_1826.xml","Instruction"
"185","PN970_F6_D4_1860.xml","NurseryRhymes"
"186","PN970_F6_D4_1860_DUP.xml","NurseryRhymes"
"187","PN970_F6_H5_1860.xml","RomancesFairyFolk"
"188","PN970_F6_H55_1860.xml","NurseryRhymes"
"189","PN970_G7_C3_1845.xml","Religious"
"190","PN970_G7_E5_1845.xml","Religious"
"191","PN970_G7_G45_1852.xml","Religious"
"192","PN970_G7_L5_1845.xml","Religious"
"193","PN970_H63_P5_1832.xml","Religious"
"194","PN970_H63_R5_1832.xml","RomancesFairyFolk"
"195","PN970_H68_S3_1825.xml","Religious"
"196","PN970_H68_S7_1825.xml","Religious"
"197","PN970_H6857_V5_1857.xml","Religious"
"198","PN970_H695_G6_1842.xml","Religious"
"199","PN970_H87_R4_1864.xml","NurseryRhymes"
"200","PN970_I6_W38_1817.xml","SongBooks"
"201","PN970_K4_H5_1820.xml","MetricalTales"
"202","PN970_K4_J3_1810.xml","NurseryRhymes"
"203","PN970_K4_J33_1820.xml","MetricalTales"
"204","PN970_K4_L54_1820.xml","NurseryRhymes"
"205","PN970_K4_M6_1820.xml","MetricalTales"
"206","PN970_K4_T7_1820_DUP.xml","Religious"
"207","PN970_K4_V5_1810_DUP.xml","Religious"
"208","PN970_K4_W45_1820.xml","RomancesFairyFolk"
"209","PN970_K4_W6_1820.xml","MetricalTales"
"210","PN970_K49_V3_1840.xml","RomancesFairyFolk"
"211","PN970_K49_V3_1840_DUP.xml","RomancesFairyFolk"
"212","PN970_K5_A8_1856.xml","GeographHistory"
"213","PN970_K5_B3_1856.xml","Religious"
