"","Var1","Freq"
"494","molluscs snail",1
"495","moneychest treasurechest moneybox",1
"496","monkeys apes",1
"497","monks friars",2
"498","mother  baby  young child",8
"499","mother  children woman  children family group",20
"500","mother  daughters family group",7
"501","mother  daughters motherlove",2
"502","mother  sons  daughters motherlove",1
"503","mother  sons family group",13
"504","mother playing  baby fondling dandling crooning",1
"505","mountains hh ideal landscapes",1
"506","mourning  dead",4
"507","mouse trap",2
"508","muff",1
"509","mule",1
"510","mundus inversus  reversed world  topsyturvy world le monde bestourné",2
"511","neighbour",2
"512","nobility  patriciate chivalry knighthood",1
"513","nuns",3
"514","nursing tending  sick",4
"515","oillamp",1
"516","old man",4
"517","old woman",4
"518","one pair dancing man  woman dancing   couple",1
"519","one person playing  instrument",1
"520","one person playing keyboard instrument",1
"521","one person playing string instrument bowed cc   doors",1
"522","one person praying",4
"523","open fire fireplace stove  kitchen",1
"524","open hearth fireplace",1
"525","openair recreation",1
"526","organ",1
"527","ornament derived  plant forms",1
"528","ornamental birds",1
"529","ornamental birds cockatoo",1
"530","ornamental birds flamingo",1
"531","ornamental birds toucan",1
"532","ornaments art",2
"533","ostrich walker  runner birds ostrich",2
"534","outdoor gathering délices à la campagne",1
"535","outing pleasure trip",1
"536","outskirts  city ii ideal city",1
"537","outskirts  village",1
"538","owls",9
"539","ox",3
"540","packanimal",3
"541","paddlewheel boat",1
"542","painting including bookillumination miniaturepainting",1
"543","parents   children",1
"544","parrot ornamental birds parrot",2
"545","parts  church exterior  annexes chapel qq small church chapel",2
"546","parts  ships exterior anchor",4
"547","passenger train",1
"548","pastorals arcadian scenes",2
"549","peacock ornamental birds peacock",5
"550","pedlar",2
"551","pelican waterbirds pelican",1
"552","pen",1
"553","physician doctor",1
"554","picking flowers",8
"555","picking fruit",5
"556","pie",6
"557","pig",3
"558","pigeon  messenger",1
"559","piglet suckling pig",1
"560","pipe tobacco",2
"561","plague aa plague epidemic",1
"562","plants  general",6
"563","plants  herbs wheat",2
"564","playground equipment",1
"565","playing   woods",4
"566","playing  boats",1
"567","playing  top",1
"568","playing  toys water",1
"569","playing toddler child amusing ",3
"570","pleading",1
"571","plough agricultural implements plough",1
"572","ploughing",4
"573","politics",1
"574","potatoes",1
"575","potted plants",2
"576","poultry farm",1
"577","prayer  going  bed   getting ",16
